user_input,model_output
小孩成年了要從我名下退保，要怎麼申請,"1.如眷屬與被被保險人一同投保於公司行號、工農漁會等單位，請洽投保單位請其協助辦理眷屬轉出申報作業。
2.如眷屬與被保險人一同投保於戶籍地鄉鎮市區公所，可透過全民健保行動快易通|健康存摺APP辦理眷屬轉出，或至戶籍地鄉鎮市區公所、健保署聯合服務中心及聯絡辦公室臨櫃辦理"
公司老闆要怎麼加健保,"原則上負責人(老闆)一定要在單位以負責人(老闆)身分加保，若有下列情形者，可不用以負責人(老闆)身份加保：〈但加保日期須與單位核准設立日期符合，不符合部分還是要以負責人(老闆)身分加保〉
1.以員工身分加保：如負責人(老闆)主要工作是於其他公司單位上班，可檢附在保證明等證明文件〈如本署檔上資料確以員工身分加保中，註明在保單位之名稱代號〉
2.以其他單位負責人(老闆)身分加保：如同時為兩家以上公司企業行號負責人(老闆)，且已於另一單位加保中，不用附證明文件，只須註明在保單位之名稱代號。 
3.獨資企業行號：若無僱用員工，且獨立從事勞動或技藝工作獲致報酬， 並於相關性質職業工會加保，可檢附未聘用員工聲明書、工會會員證影本、營利事業登記證影本，由承辦人員審核。"
健保署會通知我繼續投保嗎？,若保險對象轉出逾2個月未加保，本署各分區業務組每月皆會發函輔導納保，請您儘速補辦加保，若有疑問請電洽公文所載之承辦窗口。
健保繳費單可以線上刷卡嗎?,"健保繳費單可以線上刷卡繳納。您可以使用信用卡繳納健保費，使用信用卡之相關約定事項及服務費用(手續費)，悉依各
發卡機構規定辦理。您可以透過健保署的全球資訊網進行網路繳費。相關資訊請參考健保署全球資訊網/網路櫃檯/保險費繳納/保險費繳納方式/臨櫃信用卡繳費(https://www.nhi.gov.tw/ch/cp-3291-af80a-2595-1.html)。"
我在一間公司當正職，有時晚上和假日還會去超商打工，但是超商在給薪水時還有扣勞健保是正確的嗎?,根據健保的規定，如同時具有專任工作與兼職工作者，應以專任職務之工作參加全民健康保險。倘您在超商打工期間，健保已投保於該單位內，則無需扣取補充保費；若健保未投保在該單位內，則單筆給付的薪資所得達基本工資時，應扣取2.11%之補充保費。
原先爸媽都在哥哥的公司加保，但是我這幾年開刀醫藥費支出很高，想說把爸媽的健保加在我這邊，明年繳稅時列舉扣除額可以多一點，順便節稅，這樣我應該怎麼做?,"與哥哥同為父母最近親等之直系血親卑親屬，根據您的情況，您可以將父母的健保從哥哥的公司轉到您這邊。
具體步驟如下：
您可以請哥哥公司辦理父母的健保轉出，並改依附您投保。"
我好像有欠費，我要怎麼補繳,建議可透過下列方式查詢欠費後繳款。 一、登入本署全球資訊網/網路櫃檯/承保網路櫃檯/一般民眾/個人健保資料網路服務作業之【保險費相關作業查詢與列印/個人未繳保費查詢及簡易分期申請】，勾選預繳保費後，點選【網路繳費】，即可選擇以「信用卡、活期帳戶、行動支付或網路ATM」等方式並進行繳費。 二、登入本署健保快易通APP之【健保櫃檯/保險費各項查詢及申請/未繳保費查詢及繳納」，勾選預繳保費後，點擊【繳費】即可選擇以「信用卡、活期帳戶、行動支付或超商行動條碼」等方式並進行繳費
本人欠費健保快譯通APP可查詢嗎?,本人經過完成健保卡註冊及行動裝置綁定後，以帳號密碼登入，快易通認證後即可於線上查詢欠費
剛失業可以跟哥哥加保嗎?,"不可以依附兄弟姐妹為眷屬身分投保，眷屬依附被保險人加保規定如下：
1.被保險人之配偶，且無職業者
2.被保險人之直系血親尊親屬，且無職業者
3.被保險人二親等內直系血親卑親屬未成年且無職業，或成年無謀生能力或仍在學就讀且無職業者。"
小孩要跟我投保，要怎麼申請,請父親〈母親〉之投保單位，可利用多憑證網路承保作業線上，或填寫「保險對象退保申報表」〈L表〉辦理退保，母親〈父親〉之投保單位利用線上申請或填寫保險對象投保申報表(D)表，依附父親〈母親〉單位退保之日期為投保日，投保日期要銜接，以免造成眷屬重複或中斷。
