user_input,model_output
我剛失業，可以依附哥哥加保嗎？,"不可以。兄弟姐妹屬旁系血親，不能互相以眷屬身分依附加保。眷屬依附投保須符合配偶、直系血親尊親屬，或二親等內直系血親卑親屬等規定。"
我剛失業，可以掛在姐姐的健保名下嗎？,"不可以。兄弟姐妹屬旁系血親，不能互相以眷屬身分依附加保。若失業期間沒有符合資格的配偶或直系親屬可依附，應另依適法身分投保。"
我剛失業，能不能跟妹妹一起加健保？,"不可以。兄弟姐妹屬旁系血親，不能互相以眷屬身分依附加保。眷屬資格不是只看有無工作，還要符合可依附的親屬關係。"
剛沒有工作，可以加到弟弟的投保單位嗎？,"不可以。兄弟姐妹不能互相以眷屬身分依附投保；即使目前無職業，也不能依附弟弟加保。"
我失業了，可以依附兄弟姊妹其中一人投保嗎？,"不可以。兄弟姊妹屬旁系血親，不符合眷屬依附加保的親屬關係，不能互相依附投保。"
哥哥剛失業，可以把健保加到我名下嗎？,"不可以。兄弟姐妹之間不能互相以眷屬身分依附加保，哥哥失業也不能依附您投保。"
妹妹剛離職沒工作，可以加在我健保名下嗎？,"不可以。兄弟姐妹屬旁系血親，不能互相以眷屬身分依附投保；妹妹失業也不能依附您加保。"
弟弟剛失業，可以跟著我公司加保嗎？,"不可以。兄弟姐妹不能互相以眷屬身分依附加保，弟弟不能因失業就跟著您的公司投保。"
我剛失業，可以依附太太加保嗎？,"可以。無職業者如有配偶可依附投保，應以眷屬身分依附配偶投保，請洽配偶的投保單位辦理。"
我剛失業，可以跟先生的公司加保嗎？,"可以。無職業者如有配偶可依附投保，應以眷屬身分依附配偶投保，請洽先生的投保單位辦理眷屬加保。"
我剛失業，可以依附成年兒子投保嗎？,"可以。無職業父母可依附成年子女，以眷屬身分在成年子女的投保單位辦理投保。"
我剛失業，可以加到女兒的健保名下嗎？,"可以。無職業父母可依附成年子女投保，請洽女兒的投保單位辦理眷屬加保。"
爸爸剛失業，可以依附我加保嗎？,"可以。無職業之直系血親尊親屬可依附被保險人投保，爸爸可依附您辦理眷屬加保。"
媽媽沒有工作，可以跟著我公司投保嗎？,"可以。無職業之直系血親尊親屬可依附被保險人投保，媽媽可依附您在投保單位辦理眷屬加保。"
我剛失業，可以依附爸爸媽媽投保嗎？,"成年子女不能只因失業就依附父母投保。成年之二親等內直系血親卑親屬須符合無謀生能力、仍在學就讀且無職業等條件，才可作為眷屬依附。"
我成年了剛失業，可以加在爸爸公司名下嗎？,"不一定可以。成年子女不是只要失業就能依附父母，還須符合仍在學且無職業、無謀生能力等眷屬資格。"
成年女兒剛失業，可以加到我名下嗎？,"不一定可以。成年子女須符合仍在學且無職業、無謀生能力等條件，才可作為眷屬依附父母投保；不能只因失業就加保。"
成年兒子剛離職，可以跟著我公司加健保嗎？,"不一定可以。成年子女須符合仍在學且無職業、無謀生能力等條件，才可作為眷屬依附父母投保；單純離職失業不一定符合資格。"
未成年小孩沒有工作，可以依附我投保嗎？,"可以。被保險人二親等內直系血親卑親屬未成年且無職業者，可作為眷屬依附投保，請洽您的投保單位辦理。"
小孩已成年但還在學沒有工作，可以加在我名下嗎？,"可以。成年子女如仍在學就讀且無職業，符合二親等內直系血親卑親屬眷屬資格，可依附父母投保。"
阿公沒有工作，可以依附我加保嗎？,"可以。祖父母屬直系血親尊親屬，無職業者可依附被保險人以眷屬身分投保。"
阿嬤失業沒有工作，可以加到我健保名下嗎？,"可以。祖父母屬直系血親尊親屬，無職業者可依附被保險人以眷屬身分投保。"
我剛失業，可以直接依附阿公投保嗎？,"不一定可以。成年孫子女屬直系血親卑親屬，須符合成年無謀生能力或仍在學就讀且無職業等條件，才可作為眷屬依附。"
爸爸有農保，可以改當我的眷屬加保嗎？,"不可以。若爸爸具有被保險人資格，例如農會會員為第三類被保險人，不能改以眷屬身分依附配偶或子女投保。"
我有工作，可以不要在公司投保改依附太太嗎？,"不可以。有工作者應自受僱之日起於所屬投保單位加保，不能改以眷屬身分依附配偶投保。"
我剛失業但有職業工會會員資格，可以改加到兒子名下嗎？,"若您仍具有被保險人資格，不能改以眷屬身分依附子女投保；是否可依附須先確認是否已不具被保險人資格及是否無職業。"
