source_id,variant_index,paraphrase
key-qa-1,1,小孩已經成年，想從我名下退保，請問要如何申請？
key-qa-1,2,孩子成年後要從我的名下辦理退保，該怎麼申請？
key-qa-1,3,我的小孩已成年，要從我這邊退保，申請方式是什麼？
key-qa-1,4,子女成年了，需要從我名下退出健保，要怎麼辦理？
key-qa-1,5,小孩成年後不想掛在我名下投保，要如何申請退保？
key-qa-1,6,孩子已經滿成年，要從我的名下退保，請問流程怎麼申請？
key-qa-1,7,我的孩子成年了，若要從我名下退保，應該怎麼申請？
key-qa-1,8,小孩成年要離開我名下的健保投保，申請要怎麼做？
key-qa-1,9,子女已成年，想辦理從我名下退保，請問如何申請？
key-qa-1,10,孩子已成年，要從我名下退出投保，該如何辦理申請？
key-qa-1,11,請問小孩成年後要從我名下退保，要怎麼處理？
key-qa-1,12,小孩已成年，若要從我的健保名下退保，申請程序是什麼？
key-qa-1,13,孩子成年了，要取消掛在我名下的健保，請問怎麼申請？
key-qa-1,14,我的子女已經成年，要從我名下辦退保，該怎麼辦？
key-qa-1,15,小孩成年後要從我名下退掉健保，請問如何申辦？
key-qa-1,16,孩子已成年，想從我的名下退保，請問申請方式？
key-qa-1,17,小孩現在成年了，要從我這裡退保，應該如何申請？
key-qa-1,18,子女成年後要從我名下退出健保投保，怎麼申請？
key-qa-1,19,請問孩子成年了，要從我名下辦理健保退保要怎麼做？
key-qa-1,20,我的小孩已成年，要把健保從我名下退掉，如何申請？
key-qa-1,21,孩子成年後要從我的名下退保，請問要辦什麼申請？
key-qa-1,22,小孩成年了，想辦理不再掛我名下投保，該怎麼申請？
key-qa-1,23,子女已成年，要從我這邊的健保名下退保，如何辦理？
key-qa-1,24,我的孩子已成年，從我名下退保要怎麼申請？
key-qa-1,25,小孩成年後需要從我名下辦退保，請問申請方式為何？
key-qa-1,26,孩子已經成年，健保要從我名下退出，該如何申請？
key-qa-1,27,小孩成年了，要辦理從我名下退保，請問怎麼辦？
key-qa-1,28,請問子女成年後要從我名下退保，申請方式是什麼？
key-qa-1,29,我的小孩成年了，不再從我名下投保要怎麼申請退保？
key-qa-1,30,孩子成年，要從我的名下退健保，請問該怎麼申請？
key-qa-1,31,小孩已成年，想要從我名下辦理退出投保，要如何申請？
key-qa-1,32,子女成年了，若要從我名下退保，該怎麼辦理？
key-qa-1,33,請問我的孩子成年後要從我名下退保，要如何申請？
key-qa-1,34,小孩成年了，要把他從我名下退保，申請要怎麼辦？
key-qa-1,35,孩子已成年，若不再掛在我名下健保，退保要怎麼申請？
